what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1362496300839
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1362496300914
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1362496300957
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1362496301408
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1362496301426
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1362496301499
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1362496301526
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1362496301592
opened,editor,com.android.ide.eclipse.adt,,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1362496301698
activated,editor,com.android.ide.eclipse.adt,,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1362496301878
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1362496303018
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1362496303097
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1362496303203
activated,view,org.python.pydev,2.7.1.2012100913,"org.python.pydev.navigator.view",1362496306245
closed,editor,com.android.ide.eclipse.adt,,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1362496306245
opened,editor,com.android.ide.eclipse.adt,,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1362496311503
activated,editor,com.android.ide.eclipse.adt,,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1362496311533
activated,view,org.python.pydev,2.7.1.2012100913,"org.python.pydev.navigator.view",1362496346369
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362496347125
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362496347217
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1362496347335
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362496421252
activated,view,org.python.pydev,2.7.1.2012100913,"org.python.pydev.navigator.view",1362499746520
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1362499746583
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362499746620
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362499747013
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362499829237
