what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359570394536
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359570400654
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359570403318
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359570452699
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1359570459613
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1359570461533
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359570462221
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359570472142
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1359570485191
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359570485624
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359570493781
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1359570519935
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1359570524328
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1359570524667
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1359570525037
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1359570525598
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1359570526109
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1359570526549
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.redo",1359570528350
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1359570528935
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1359570541454
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359570542318
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359570559380
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1359570572582
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359570573118
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359570584321
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1359570587183
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1359570587632
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1359570589616
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1359570592292
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1359570592770
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1359570593009
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359570593399
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359570608053
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1359570612591
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359570612967
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359570620722
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359570624976
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1359570653963
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1359570655598
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1359570656082
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1359570656781
